step,mean_alpha,val_loss
0,5.649643677486839,5.252575969696045
500,2.759931691720106,0.14918114691972734
1000,2.372452420805352,0.11857388988137245
1500,2.492773487979273,0.11526295468211174
2000,2.748723570520291,0.11377364695072174
2500,2.3565840282676906,0.11313909739255905
3000,2.5058823603923135,0.11011300832033158
3500,2.3161319748556415,0.10970713198184967
4000,2.582008333630543,0.11151644885540009
4500,2.5390612874888396,0.1103544570505619
5000,2.3082858149158856,0.1106616772711277
5500,2.2827298134794227,0.11039169952273369
6000,2.761770440108013,0.10955111384391784
6500,2.522565572064954,0.109310133010149
7000,2.5540705035239517,0.10832361727952958
7500,2.2594555897793627,0.10797408372163772
8000,2.4686994494777457,0.10783962309360504
8500,2.2813064914928742,0.10968068167567253
9000,2.5526684349455953,0.10816992372274399
9500,2.2653340690952493,0.10973133668303489
10000,2.2518789666357613,0.10711734071373939
10500,2.497819933435889,0.10934875607490539
11000,2.4868102135272157,0.10731921344995499
11500,2.4289121898526167,0.10911722183227539
12000,2.2406552476452406,0.10790721848607063
12500,2.4765860591075666,0.10832882225513459
13000,2.4582121744729304,0.10771930664777755
13500,2.227723630672869,0.1083911769092083
14000,2.480081076972399,0.10647649019956588
14500,2.4728831646429246,0.10842835083603859
15000,2.474882667538747,0.10821355804800988
15500,2.2513144489669257,0.10816243067383766
16000,2.254515280615333,0.10819091796875
16500,2.2416901113868266,0.10766418501734734
17000,2.506193915456975,0.10716433152556419
17500,2.509217932868744,0.10726634338498116
18000,2.2537179472011246,0.10706610828638077
18500,2.2539126871857786,0.10845619961619377
19000,2.515537942740755,0.1065312996506691
19500,2.5033526946732,0.10712021961808205
