step,region_count,alpha
0,30,5.649643677486839
2000,35,2.748723570520291
4000,35,2.582008333630543
6000,32,2.761770440108013
8000,40,2.4686994494777457
10000,36,2.2518789666357613
12000,33,2.2406552476452406
14000,33,2.480081076972399
16000,38,2.254515280615333
18000,35,2.2537179472011246
