step,mean_alpha,val_loss
0,5.971622544548751,4.574656438827515
250,2.4198317402696587,2.2074652194976805
500,2.2984056220370035,1.544320249557495
750,2.184470690234341,1.0693659663200379
1000,2.0648758399523577,0.3298744589090347
1250,2.0381422331208183,0.20682909786701204
1500,2.0081374017412337,0.09328789040446281
1750,1.997322696370356,0.06990616135299206
2000,1.9822566573989557,0.04652657993137836
2250,1.9741848456101425,0.03287742882966995
2500,1.9691286633884493,0.10698988288640976
2750,1.9583260754973197,0.029458938539028166
3000,1.9533656090503229,0.06670139767229558
3250,1.9561990707333956,0.02760143680498004
3500,1.951471968852794,0.019025140535086395
3750,1.9502209653762055,0.02841199655085802
4000,1.9473550166507987,0.05731069184839725
