step,mean_alpha,val_loss
0,7.72731969393753,5.139529752731323
500,2.6208447239394617,0.1470992997288704
1000,2.437448444942979,0.12144107520580291
1500,2.3139896359643006,0.11455979570746422
2000,2.273402779935444,0.11384142115712166
2500,2.220145645708801,0.11130527555942535
3000,2.3159609788295716,0.11161052137613296
3500,2.2518866957034303,0.11072399765253067
4000,2.2207143893955594,0.11045365631580353
4500,2.584308880141413,0.11038377583026886
5000,2.239112266208549,0.1097479023039341
5500,2.1301121146114266,0.11107113733887672
6000,2.0666112518273114,0.1106189213693142
6500,2.2322364773588426,0.10919504016637802
7000,2.3964562514817627,0.1088346317410469
7500,2.1881809130139893,0.10929926931858062
8000,2.1499432145146082,0.10811012610793114
8500,2.2341639655912893,0.10871387645602226
9000,2.3707763227361607,0.10982570052146912
9500,2.637384808362093,0.10882184579968453
10000,2.6629382615581707,0.10879152119159699
10500,3.0668781118261483,0.10968849435448647
11000,2.892587959264821,0.10889634117484093
11500,2.864443934709534,0.10769034624099731
12000,2.499537018043707,0.10887900665402413
12500,2.542297370058332,0.10826867818832397
13000,2.708666709267279,0.10894766226410865
13500,2.705929506234858,0.10978919938206673
14000,2.4344404738560894,0.10898157730698585
14500,2.624470441920886,0.10822199061512947
