step,region_count,alpha
0,35,7.89747686050268
2000,38,2.5251005194320495
4000,33,2.341762563005527
6000,39,2.141621218272585
8000,41,2.2250515373912347
10000,36,2.4606071840324444
12000,38,2.2075746809336865
14000,36,2.455804044225971
16000,33,2.3090765381072913
