step,region_count,alpha
0,39,7.72731969393753
2000,36,2.273402779935444
4000,40,2.2207143893955594
6000,35,2.0666112518273114
8000,37,2.1499432145146082
10000,34,2.6629382615581707
12000,38,2.499537018043707
14000,37,2.4344404738560894
