step,mean_alpha,val_loss
0,7.89747686050268,5.122307062149048
500,2.7267450388968575,0.14982218146324158
1000,2.6616939960501593,0.11772795468568802
1500,2.4939467327028915,0.11563742011785508
2000,2.5251005194320495,0.113723174482584
2500,2.456273078109925,0.11103559881448746
3000,2.2155983646807247,0.11120556816458702
3500,2.2105499456453237,0.11034157127141953
4000,2.341762563005527,0.11139583066105843
4500,2.3165113276019706,0.11156946197152137
5000,2.245381928748715,0.1109658345580101
5500,2.2506113227475195,0.1108129121363163
6000,2.141621218272585,0.11092552542686462
6500,2.3730168708803556,0.10945064648985862
7000,2.741513761596161,0.11072539240121841
7500,2.241066024737644,0.10923947095870971
8000,2.2250515373912347,0.10906079113483429
8500,1.9976090393697319,0.10881144553422928
9000,2.2252861480774926,0.11057837158441544
9500,2.2707652440820194,0.10976185500621796
10000,2.4606071840324444,0.10827686563134194
10500,2.2596659273121027,0.10887332037091255
11000,2.3484825775340705,0.10671459957957267
11500,2.436287532926833,0.10750803947448731
12000,2.2075746809336865,0.10732224285602569
12500,2.2930185698678676,0.10913261026144028
13000,2.330042331695435,0.10933125242590905
13500,2.4159830954716934,0.11021464690566063
14000,2.455804044225971,0.10897301435470581
14500,2.292510118082259,0.10830905064940452
15000,2.258015872034687,0.10834028944373131
15500,2.324139404993886,0.10769594013690949
16000,2.3090765381072913,0.10900691226124763
16500,2.1292426991407614,0.10924455299973487
17000,2.694426781378054,0.10774373039603233
17500,2.7081312220754135,0.10884367600083351
